year_bin	n_pairs	at_macro_recall	at_n	isAt_macro_recall	isAt_n
1800-1810	42	0.7371794871794872	42	0.6875	42
1810-1820	20	0.8666666666666667	20	0.8571428571428572	20
1820-1830	12	0.4444444444444444	12	1.0	12
1830-1840	24	0.8677248677248678	24	0.7412587412587412	24
1840-1850	31	0.75	31	1.0	31
1850-1860	27	0.8458333333333333	27	0.6666666666666666	27
1860-1870	0		0		0
1870-1880	12	0.5	12	0.5	12
1880-1890	0		0		0
1890-1900	20	0.65625	20	0.5666666666666667	20
1900-1910	25	0.5208333333333334	25	0.875	25
1910-1920	79	0.5713920817369093	79	0.7864906832298137	79
1920-1930	98	0.6877014956926167	98	0.792063492063492	98
1930-1940	78	0.661447525624096	78	0.849691146190803	78
1940-1950	44	0.6077441077441077	44	0.72	44
1950-1960	18	0.875	18	0.7916666666666666	18
1960-1970	63	0.7156374807987711	63	0.8636363636363636	63
1970-1980	0		0		0
1980-1990	9	0.6666666666666666	9	1.0	9
1990-2000	16	0.7	16	0.8333333333333333	16
