system	entity_type	qid_status	task	macro_recall	accuracy	n
baseline	person	linked	at	0.48063380877451234	0.6045197740112994	354
baseline	person	linked	isAt	0.6668123543123543	0.7846715328467153	274
team1_best	person	linked	at	0.6555995465543204	0.711864406779661	354
team1_best	person	linked	isAt	0.7135780885780886	0.8321167883211679	274
top5_ensemble	person	linked	at	0.6832495812395308	0.8022598870056498	354
top5_ensemble	person	linked	isAt	0.7758595571095571	0.8795620437956204	274
baseline	person	NIL	at	0.5256807791691512	0.5968586387434555	764
baseline	person	NIL	isAt	0.6375905200789993	0.6895604395604396	364
team1_best	person	NIL	at	0.6385801364871132	0.7212041884816754	764
team1_best	person	NIL	isAt	0.71724818959842	0.760989010989011	364
top5_ensemble	person	NIL	at	0.7393937586960843	0.8180628272251309	764
top5_ensemble	person	NIL	isAt	0.815009874917709	0.8461538461538461	364
baseline	location	linked	at	0.5078655578655579	0.5975197294250282	887
baseline	location	linked	isAt	0.6270644375253824	0.707843137254902	510
team1_best	location	linked	at	0.6308695963868377	0.6967305524239008	887
team1_best	location	linked	isAt	0.6874746175714093	0.7627450980392156	510
top5_ensemble	location	linked	at	0.7103627500179224	0.8027057497181511	887
top5_ensemble	location	linked	isAt	0.7813896033572492	0.8392156862745098	510
baseline	location	NIL	at	0.5343130486808648	0.6060606060606061	231
baseline	location	NIL	isAt	0.7337941628264208	0.8203125	128
team1_best	location	NIL	at	0.6922353387870629	0.8008658008658008	231
team1_best	location	NIL	isAt	0.8552995391705069	0.90625	128
top5_ensemble	location	NIL	at	0.7747143695419557	0.8528138528138528	231
top5_ensemble	location	NIL	isAt	0.9089093701996929	0.9453125	128
